hagrid,temperature,metabolic_rate,body_mass
1842,310.15,16.647,11050
1846,312.75,1.276,125.5
1848,312.15,1.344,225
1854,312.15,2.722,660
1857,311.15,15.062,9000
1859,310.55,5.565,4270
1872,311.25,NULL,NULL
1876,NULL,118.59,54000
1885,309.45,NULL,NULL
1887,309.85,73.29,27400
1893,310.75,NULL,NULL
1894,311.95,3.537,1280
1895,311.75,6.733,3670
1896,309.55,5.591,3924.3
1897,309.25,4.294,2318
1898,310.15,2.588,1160
1899,311.15,10.428,4842.2
1901,311.25,NULL,NULL
1902,NULL,47.064,66957
1905,310.45,NULL,NULL
1906,309.95,NULL,NULL
1907,310.65,NULL,NULL
1908,309.85,12.747,14280
1909,309.35,3.085,2010
1918,310.15,4.189,1699
1921,309.65,5.534,3282.6
1936,309.15,NULL,NULL
1947,309.15,NULL,NULL
1949,309.75,NULL,NULL
1966,308.95,NULL,NULL
1969,NULL,107.675,28500
1974,308.65,0.081,7.8
1976,310.15,0.639,126
1978,310.85,0.145,10.9
1981,309.15,0.117,13.3
1982,308.25,NULL,NULL
1984,306.95,0.4,61
1986,309.55,0.359,46.1
1987,310.45,0.602,70.1
1988,309.55,0.24,14.9
1989,308.15,0.194,29.4
1991,308.65,0.164,9.6
1993,308.15,0.082,11.7
1995,307.75,0.267,33.5
1996,307.85,0.559,84.2
1997,309.55,0.25,21.9
1998,309.55,0.237,21.4
1999,309.65,0.262,37.2
2001,309.95,1.411,312.4
2002,307.65,NULL,NULL
2010,309.85,1.622,562.2
2011,308.85,1.618,520.8
2015,309.65,1.768,598
2017,309.25,0.705,194.2
2018,309.65,0.753,254.5
2019,310.15,1.353,362
2020,310.05,4.486,1024.3
2022,307.95,0.684,146
2029,307.15,0.104,22
2033,309.15,0.113,13.3
2037,307.95,NULL,NULL
2048,305.15,0.051,5.8
2049,308.15,NULL,NULL
2052,307.15,0.027,3.7
2054,306.15,NULL,NULL
2055,NULL,0.04,11.9
2056,309.15,0.199,25
2058,NULL,0.047,5
2061,307.15,NULL,NULL
2066,307.15,0.082,10.2
2070,306.75,4.812,4061.7
2072,308.65,3.118,2150
2073,307.55,1.707,1110
2074,308.25,4.508,4540
2076,307.65,4.655,3413.7
2078,307.35,6.901,8190
2079,306.75,16.892,45190
2080,306.15,1.172,1160
2082,308.35,2.192,1740
2083,308.95,0.141,25.8
2086,308.15,0.252,46.5
2089,308.25,0.189,25
2090,309.15,0.351,66.9
2091,310.85,0.26,91
2093,308.35,0.439,100
2094,309.35,2.991,1326.7
2095,309.05,1.501,571
2096,310.05,3.142,1782
2097,309.05,2.26,945.3
2102,310.55,0.694,153.7
2103,308.25,0.058,9.1
2104,307.65,0.065,8.8
2105,307.65,0.067,10.6
2106,307.65,0.063,7.1
2108,307.35,0.152,43.1
2111,308.95,8.664,6126.8
2112,308.35,0.121,16
2116,306.45,0.128,20.6
2120,305.65,0.907,438.2
2122,308.15,1.194,342.7
2125,308.15,2.793,940.5
2128,308.15,3.31,1244.3
2129,308.15,5.299,2846.6
2131,308.95,2.265,812
2134,307.15,0.547,122
2136,308.15,1.144,336
2138,306.85,0.366,91.5
2139,305.75,0.335,104
2141,308.95,1.886,751
2142,307.85,0.084,14
2144,309.25,0.205,44.3
2146,308.75,0.311,64.8
2152,309.45,7.96,6960
2157,309.15,4.749,2660
2164,309.65,7.78,4796
2165,309.65,NULL,NULL
2166,309.45,NULL,NULL
2169,309.25,33.056,29647.9
2171,309.05,31.353,28500
2180,NULL,4.695,2702.3
2187,308.15,0.574,166
2189,309.05,0.517,129.3
2192,309.55,NULL,NULL
2194,307.85,6.27,4250
2197,309.15,3.8,1993.5
2199,308.95,5.744,4732.4
2200,NULL,5.978,2820
2201,308.75,3.578,1385
2203,310.35,3.132,1018
2206,309.05,2.556,1045.5
2208,308.55,3.191,1140.5
2209,310.55,2.27,859.3
2210,309.75,0.162,10
2212,308.45,16.001,27348.2
