id_biblio,pubmed,title,url,author,publisher,year,journal,volume,pages,editor,book_title,review
43,NULL,The Wood Frog (Rana sylvatica),http://www.naturenorth.com/spring/creature/woodfrog/wdfrgcvr.html,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,2655926,A mutant with a defect in telomere elongation leads to senescence in yeast,NULL,Lundblad and Szostak,NULL,1989,Cell,57,633-643,NULL,NULL,0
45,9428525,Extrachromosomal rDNA circles--a cause of aging in yeast,NULL,Sinclair and Guarente,NULL,1997,Cell,91,1033-1042,NULL,NULL,0
46,NULL,WormBase,http://www.wormbase.org/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,NULL,FlyBase,http://flybase.bio.indiana.edu/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,14698816,Genetic mouse models of extended lifespan,NULL,Liang et al.,NULL,2003,Exp Gerontol,38,1353-1364,NULL,NULL,1
52,8885718,Invertebrate gerontology: the age mutations of Caenorhabditis elegans,NULL,Lithgow,NULL,1996,Bioessays,18,809-815,NULL,NULL,1
53,11089983,Genetic pathways that regulate ageing in model organisms,NULL,Guarente and Kenyon,NULL,2000,Nature,408,255-262,NULL,NULL,1
54,13733753,Hereditary premature senescence of the rabbit. II. Acute form; general features,NULL,Pearce and Brown,NULL,1960,J Exp Med,111,505-516,NULL,NULL,0
55,13733754,Hereditary premature sensescence of the rabbit. I. Chronic form; general features,NULL,Pearce and Brown,NULL,1960,J Exp Med,111,485-504,NULL,NULL,0
56,14602950,Using yeast to discover the fountain of youth,NULL,Kaeberlein et al.,NULL,2001,Sci Aging Knowledge Environ,2001,pe1,NULL,NULL,1
58,2392680,Slow mortality rate accelerations during aging in some animals approximate that of humans,NULL,Finch et al.,NULL,1990,Science,249,902-905,NULL,NULL,0
59,6771758,Superoxide dismutase: correlation with life-span and specific metabolic rate in primate species,NULL,Tolmasoff et al.,NULL,1980,Proc Natl Acad Sci U S A,77,2777-2781,NULL,NULL,0
650,8375690,"Simultaneous induction of sod, glutathione reductase, GSH, and ascorbate in liver and kidney correlates with survival during aging",NULL,Lopez-Torres et al.,NULL,1993,Free Radic Biol Med,15,133-142,NULL,NULL,0
61,10904259,Genome size and longevity,NULL,Monaghan and Metcalfe,NULL,2000,Trends Genet,16,331-332,NULL,NULL,1
62,14698817,Birds as long-lived animal models for the study of aging,NULL,Holmes and Ottinger,NULL,2003,Exp Gerontol,38,1365-1375,NULL,NULL,1
64,12855286,The eastern box turtle at the Patuxent Wildlife Research Center 1940s to the present: another view,NULL,Henry,NULL,2003,Exp Gerontol,38,773-776,NULL,NULL,0
65,NULL,The Human Mortality Database,http://www.mortality.org/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,11744039,Caenorhabditis elegans--a paradigm for aging research: advantages and limitations,NULL,Gershon and Gershon,NULL,2002,Mech Ageing Dev,123,261-274,NULL,NULL,1
67,14698813,Advantages and disadvantages of Caenorhabditis elegans for aging research,NULL,Johnson,NULL,2003,Exp Gerontol,38,1329-1332,NULL,NULL,1
68,14616064,"Genetics of aging in the fruit fly, Drosophila melanogaster",NULL,Helfand and Rogina,NULL,2003,Annu Rev Genet,37,329-348,NULL,NULL,1
69,10958920,Paradigms in aging research: a critical review and assessment,NULL,Gershon and Gershon,NULL,2000,Mech Ageing Dev,117,21-28,NULL,NULL,1
70,14698814,Comparative aspects of zebrafish (Danio rerio) as a model for aging research,NULL,Gerhard,NULL,2003,Exp Gerontol,38,1333-1341,NULL,NULL,1
71,12882339,A call to fins! Zebrafish as a gerontological model,NULL,Gerhard and Cheng,NULL,2002,Aging Cell,1,104-111,NULL,NULL,1
72,15160368,"Demographic parameters and life history of chimpanzees at Bossou, Guinea",NULL,Sugiyama,NULL,2004,Am J Phys Anthropol,124,154-165,NULL,NULL,0
73,12687478,Extraordinarily low bone mineral density in an old female chimpanzee (Pan troglodytes schweinfurthii) from the Mahale Mountains National Park,NULL,Gunji et al.,NULL,2003,Primates,44,145-149,NULL,NULL,0
74,14706233,Reduced free-radical production and extreme longevity in the little brown bat (Myotis lucifugus) versus two non-flying mammals,NULL,Brunet-Rossinni,NULL,2004,Mech Ageing Dev,125,Nov-20,NULL,NULL,0
75,3544219,Conservation of brain amyloid proteins in aged mammals and humans with Alzheimer's disease,NULL,Selkoe et al.,NULL,1987,Science,235,873-877,NULL,NULL,0
76,8744406,"Carboxy terminal of beta-amyloid deposits in aged human, canine, and polar bear brains",NULL,Tekirian et al.,NULL,1996,Neurobiol Aging,17,249-257,NULL,NULL,0
77,11137761,Fractal analysis of senile plaque observed in various animal species,NULL,Nakayama et al.,NULL,2001,Neurosci Lett,297,195-198,NULL,NULL,0
78,12564538,Cerebral arteriosclerosis in an aged captive polar bear (Ursus maritimus),NULL,McOrist et al.,NULL,2002,J Zoo Wildl Med,33,381-385,NULL,NULL,0
79,7483216,Senile plaques and other senile changes in the brain of an aged American black bear,NULL,Uchida et al.,NULL,1995,Vet Pathol,32,412-414,NULL,NULL,0
80,7056309,Total sulfhydryl by raman spectroscopy in the intact lens of several species: variations in the nucleus and along the optical axis during aging,NULL,Kuck et al.,NULL,1982,Exp Eye Res,34,23-37,NULL,NULL,0
81,3346518,A set of test life tables for theoretical gerontology,NULL,Miller,NULL,1988,J Gerontol,43,B43-B49,NULL,NULL,0
82,9688507,"Ontogeny, postnatal development and ageing of endocrine pancreas in Bubalus bubalis",NULL,Lucini et al.,NULL,1998,J Anat,192,417-424,NULL,NULL,0
83,2337357,Unusual stability properties of a reptilian ceruloplasmin,NULL,Musci et al.,NULL,1990,Arch Biochem Biophys,279,Aug-13,NULL,NULL,0
84,8912903,Cholinergic axonal dystrophy and mitochondrial pathology in prosimian primates,NULL,Schmechel et al.,NULL,1996,Exp Neurol,142,111-127,NULL,NULL,0
85,1874383,Homologous radioimmunoassay for bullfrog growth hormone,NULL,Kobayashi and Kikuyama,NULL,1991,Gen Comp Endocrinol,82,14-22,NULL,NULL,0
86,11440874,"Concentrations of insulin-like growth factor-I in adult male white-tailed deer (Odocoileus virginianus): associations with serum testosterone, morphometrics and age during and after the breeding season",NULL,Ditchkoff et al.,NULL,2001,Comp Biochem Physiol A Mol Integr Physiol,129,887-895,NULL,NULL,0
87,7227806,"Calcitonin content in the ultimobranchial gland of the snake, Elaphe climacophora: comparison of adults, young, and hatchlings",NULL,Uchiyama et al.,NULL,1981,Gen Comp Endocrinol,43,259-261,NULL,NULL,0
88,14640404,"Humoral immune response in relation to senescence, sex and sexual ornamentation in the barn swallow (Hirundo rustica)",NULL,Saino et al.,NULL,2003,J Evol Biol,16,1127-1134,NULL,NULL,0
89,6699224,Involution of the auditory neuro-epithelium in a tiger (Panthera tigris) and a jaguar (Panthera onca),NULL,Ulehlova et al.,NULL,1984,J Comp Pathol,94,153-157,NULL,NULL,0
90,6485496,Histomorphological study of the thyroid gland in juvenile and adult (non-breeding and breeding) female soft-shelled turtles (Lissemys punctata puctata),NULL,Gupta et al.,NULL,1984,Z Mikrosk Anat Forsch,98,425-428,NULL,NULL,0
91,3666405,"Influence of age on diurnal rhythms of adrenal norepinephrine, epinephrine, and corticosterone levels in soft-shelled turtles (Lissemys punctata punctata)",NULL,Mahapatra et al.,NULL,1987,Gen Comp Endocrinol,67,279-281,NULL,NULL,0
92,8583207,Photothermal effects on ovarian growth and function in the soft-shelled turtle Lissemys punctata punctata,NULL,Sarkar et al.,NULL,1996,J Exp Zool,274,41-55,NULL,NULL,0
93,7428861,"Older monkeys' (Macaca radiata) response to new group formation: behavior, reproduction and mortality",NULL,Jensen et al.,NULL,1980,Exp Gerontol,15,399-406,NULL,NULL,0
94,7200997,Sociosexual and hormonal changes in aging female bonnet macaques,NULL,Jensen et al.,NULL,1982,J Gerontol,37,450-453,NULL,NULL,0
95,12633944,In vitro aging of macaque adherent cells: similar pattern of cellular aging between human and macaque,NULL,Shimizu et al.,NULL,2003,Mech Ageing Dev,124,237-244,NULL,NULL,0
96,1658459,Ontogeny of the thymus gland of a marsupial (Monodelphis domestica),NULL,Hubbard et al.,NULL,1991,Lab Anim Sci,41,227-232,NULL,NULL,0
97,6509565,Ageing of the collagenous layer in Bruch's membrane of the teleost Poecilia reticulata,NULL,Ennis and Kunz,NULL,1984,Cell Biol Int Rep,8,902,NULL,NULL,0
98,8125280,New model systems for studying the evolutionary biology of aging: crustacea,NULL,Reznick,NULL,1993,Genetica,91,79-88,NULL,NULL,1
99,8454390,Parental age effects on body size and growth rate in guppy-fish,NULL,Rocchetta et al.,NULL,1993,Growth Dev Aging,57,03-Nov,NULL,NULL,0
100,9193894,Life history evolution in guppies (Poecilia reticulata): guppies as a model for studying the evolutionary biology of aging,NULL,Reznick,NULL,1997,Exp Gerontol,32,245-258,NULL,NULL,1
101,10892563,"Brain-tissue accumulation of fluorescent age pigments in four poeciliid fishes (cyprinodontiformes) and the estimation of ""biological age""",NULL,Strauss,NULL,1999,Growth Dev Aging,63,151-170,NULL,NULL,0
102,11295514,The evolution of senescence in natural populations of guppies (Poecilia reticulata): a comparative approach,NULL,Reznick et al.,NULL,2001,Exp Gerontol,36,791-812,NULL,NULL,1
103,14767836,Comparative studies of senescence in natural populations of guppies,NULL,Bryant and Reznick,NULL,2004,Am Nat,163,55-68,NULL,NULL,0
104,2926316,Age-dependent changes in volume and haemoglobin content of erythrocytes in the carp (Cyprinus carpio L.),NULL,Speckner et al.,NULL,1989,J Exp Biol,141,133-149,NULL,NULL,0
105,10365958,Decrystallization of adult birdsong by perturbation of auditory feedback,NULL,Leonardo and Konishi,NULL,1999,Nature,399,466-470,NULL,NULL,0
106,3736134,Proteolytic susceptibility of membrane proteins during erythrocyte aging,NULL,Gaczynska et al.,NULL,1986,Mech Ageing Dev,35,109-121,NULL,NULL,0
107,9555254,Effects of aging on tensile fatigue strength of bovine dentin,NULL,Tonami and Takahashi,NULL,1997,Dent Mater J,16,156-169,NULL,NULL,0
108,11777339,Telomere biology and cellular aging in nonhuman primate cells,NULL,Steinert et al.,NULL,2002,Exp Cell Res,272,146-152,NULL,NULL,0
109,7409992,The effects of aging and inflammation on corneal endothelial wound healing in rabbits,NULL,Staatz and Van Horn,NULL,1980,Invest Ophthalmol Vis Sci,19,983-986,NULL,NULL,0
110,3996485,"Rapid in vivo quantification and comparison of hydroperoxides and oxidized collagen in aging mice, rabbits and man",NULL,Lippman,NULL,1985,Exp Gerontol,20,01-May,NULL,NULL,0
111,3062462,Aging and classical conditioning: parallel studies in rabbits and humans,NULL,Woodruff-Pak,NULL,1988,Neurobiol Aging,9,511-522,NULL,NULL,1
112,1309335,"Drop in the ""atypical"" beta-adrenergic response and modification of the beta/alpha 2-adrenoceptor balance in fat cells from aging rabbits",NULL,Langin et al.,NULL,1992,Endocrinology,130,307-315,NULL,NULL,0
113,9385284,Detrimental effect of aging on the endurance of bone cement. An in vivo and in vitro study in rabbits,NULL,Ioannidis et al.,NULL,1997,Acta Orthop Scand Suppl,275,115-118,NULL,NULL,0
114,9041135,In vivo aging of oocytes influences the behavior of nuclei transferred to enucleated rabbit oocytes,NULL,Adenot et al.,NULL,1997,Mol Reprod Dev,46,325-336,NULL,NULL,0
115,7398710,The rabbit (Oryctolagus cuniculus) and research on aging,NULL,Fox,NULL,1980,Exp Aging Res,6,235-248,NULL,NULL,0
116,729655,Aging of pyruvate kinase isozymes in rabbit lens,NULL,Banroques et al.,NULL,1978,Exp Eye Res,27,427-434,NULL,NULL,0
117,3574597,A new experimental animal for the study of age-related changes in serotonergic neuronal activity in the brain cortex,NULL,Yamaguchi and Yamaguchi,NULL,1987,Neurochem Res,12,215-219,NULL,NULL,0
118,1986033,Age-associated and cell-type specific changes in NGF requirement for neurite regeneration from trigeminal ganglion cells of the shrew (Suncus murinus),NULL,Fukuda et al.,NULL,1991,J Gerontol,46,B3-16,NULL,NULL,0
119,1833658,Serotonergic ligand binding in aging brain of experimental animals,NULL,Yamaguchi and Yamagata,NULL,1991,Neurochem Res,16,469-473,NULL,NULL,0
120,12042511,Aging does not influence feeding behavior in cats,NULL,Peachey and Harper,NULL,2002,J Nutr,132,1735S-1739S,NULL,NULL,0
121,5111799,Aging of the connective tissue: collagen cross linking in animals of different species and equal age,NULL,Deyl et al.,NULL,1971,Exp Gerontol,6,227-233,NULL,NULL,0
