cell_line_name
2BS
501-mel
82-6
A172
A2780
A375
A375P
A427
A498
A549
A9
AG00780
AG03141
AGS
ARO
B16
BGC-823
BJ
BJE-LT
BTS49-SK-OV-3
BxPC-3
CAL27
Colo201
D283
D341
D425
D458
D556
DAOY
DLD1
DU145
EC9706
EJ
FO-1
FOCUS
G-401
G361
GBC-SD
GES-1
Gro-1
H184B5F5/M10
HaCat
HBL100
HCC1937
HCT116
HCT8
HEK293FT
HEK293T
HeLa
HEp2
Hep3B
HepG2
HFL-1
HGC-27
HIEC-6
HO-1
Hs68
HT1080
HT29
hTERT-RPE
hTERT-RPE1
Huh7
IMR-90
KATO-III
KMST-6
KRC/Y
LF1
LNCaP
LoVo
Mahlavu
MCF-10A
MCF-12A
MCF-7
MDA-MB-231
MDA-MB-468
MDAH041
MED8A
MeWo
Mia PaCa-2
MKN1
MKN28
MKN45
MKN74
MRC-5
Nalm16
NCI-A549
NCI-H1299
NCI-H1437
NCI-H1568
NCI-H1650
NCI-H1975
NCI-H2009
NCI-H2126
NCI-H23
NCI-H358
NCI-H441
NCI-H460
NCI-H522
NCI-H727
NCI-N87
NHAC-kn
NIH3T3
OC2
Oct4-GiP
PANC-1
PC-3
PLC/PRF/5
Primary cell
RPE-340
SaOs-2
SCC25
SCC4
SCC9
SGC-7901
SH-SY5Y
SiHa
SK-BR-3
SK-BR3
SK-HEP1
SK-LU-1
SK-MEL-147
SK-MEL-19
SK-MEL-2
SK-MEL-28
SK-MEL-29
SNB-75
SNU-1
SNU-16
SNU-216
SNU-398
SNU-484
SNU-5
SNU-601
SNU-638
SNU-668
SNU-719
SUSM-1
SW480
T47D
T98G
TIG-1
TIG-3
TIG-7
U-1242MG
U-178MG
U-251MG
U-343MG
U-343MGa
U-373MG
U-87MG
U-U118MG
U2OS
U87
UMSCC-11A
UMSCC-11B
UMSCC-74A
UMSCC-74B
UW228-2
WI-38
WI38-SV40
WiDr
WRO
WS1
YCC-2
